Tag	Treat_1	Treat_2	Treat_3	Model_1	Model_2	Model_3
STOM	3623.658155	3055.787213	3026.51601	5241.376999	4929.226831	4910.576936
DCXR	2645.486732	2809.190418	3044.741576	1761.934486	1926.364509	1850.516215
GDF15	12439.98109	12328.83319	12568.13574	18213.90323	18797.4609	16692.29337
FADS2	1699.757176	2012.028537	1673.535775	1026.534792	1169.93345	1075.365187
SOX4	837.5900021	659.2689803	670.0575651	1222.200263	1322.014859	1183.480897
ASPH	3955.941512	3708.01057	2864.630102	6268.857035	5599.180226	5834.387066
LINC02575	1413.6789	1245.062181	1500.928946	2423.605163	2173.869546	2071.574229
MAP3K11	3311.036534	3451.348601	3408.180799	2339.478462	2436.284526	2369.857751
AREG	227.093064	242.5707241	215.4905129	455.6075228	439.3462915	395.7807242
MBNL2	998.8162467	678.3928133	651.8319993	1628.655107	1400.540554	1411.296143
ZFP36L1	2279.778421	1789.588163	1793.61009	3302.681918	3158.919716	2969.32075
SLC2A1	41464.63745	45714.01305	45930.56993	28314.77872	32290.95843	31491.5965
DPEP1	1309.471693	1460.456932	1192.16642	870.5695611	790.226927	685.376376
APOA1	11396.92593	14683.07769	13278.9328	8087.506151	9018.526929	8358.695831
MCL1	3418.193002	3017.539547	2930.027721	4770.645575	4568.406234	4446.258574
THBS1	1052.886024	983.3676241	874.827157	1612.585962	1507.892136	1454.735491
FDPS	1364.524557	1674.845165	1701.410169	892.310169	1014.870053	1003.931593
GADD45A	1483.478067	1568.154307	1503.07313	2170.279818	2519.780201	2183.551215
TOR1AIP2	1047.97059	801.1879517	838.3760254	1503.882923	1445.27038	1454.735491
HK2	5248.700729	4447.800953	3956.019864	8271.828696	7360.541376	6631.740427
SBF1	5976.185003	6148.815574	5987.634402	4412.398166	4342.769112	4439.501343
SERTAD2	1931.765674	1551.043509	1423.738314	2783.743059	2613.215838	2567.748113
PLK2	317.5370548	328.1247139	336.6369207	542.5699545	572.5417735	545.4051443
TPM4	3764.239575	3598.30016	3852.02693	5407.739912	5025.644456	5240.715979
RAPGEF5	693.0762341	655.2429102	573.5692757	1125.785393	956.2242814	1055.093491
FOSL2	1501.173631	1286.3294	1315.457012	2227.939691	2104.289817	1934.498954
ATP6V0E2	1797.082774	1730.203629	1678.896235	1204.240631	1190.807369	1194.099404
UGDH	7971.851323	7461.314429	7134.772953	10733.24361	10456.83934	10148.39696
ZKSCAN1	2103.805874	1679.877753	1535.235893	2890.555611	2730.507382	2922.020127
CPE	5010.79371	4764.853974	4650.735548	6590.239935	6603.116322	6575.751934
TXNRD1	7416.407249	7538.816279	7282.721663	10362.70803	9910.141462	9818.257916
ADM	272.3150594	257.668487	230.4998024	496.2530072	476.1241485	408.3298691
ASPSCR1	5425.656363	6404.471026	6076.618046	4051.315026	4298.039286	4117.08485
ACSS2	1175.771881	1361.818214	1190.022236	792.1143238	828.9927762	810.8678251
PLP1	1134.482233	1227.951383	1193.238512	1733.577172	1759.373158	1670.966911
DDX21	5231.988253	4600.791617	4052.508154	7146.988547	6759.173715	6907.821615
RTKN	3479.144387	3839.864366	3665.482904	2529.472471	2593.335915	2682.621055
ANAPC2	1086.310977	1260.159944	1202.887341	738.2354259	789.2329308	785.7695353
RASD1	89.46090398	118.7690682	108.2813025	215.5155917	255.4570066	223.9539707
ZFAND5	1884.577505	1672.83213	1618.859077	2494.498449	2647.011706	2448.048577
IRF2BP1	1285.877609	1212.85362	1197.52688	666.3968953	740.5271202	887.1280134
THEM6	1190.518184	1232.983971	1163.219933	852.6099285	769.3530081	768.3937962
RNF19A	1106.955801	974.3089663	886.6201701	1614.47645	1508.886132	1450.874216
CHST13	1747.928432	1626.532324	1663.886946	1157.923683	1214.663276	1088.879651
FABP1	1424.492856	1593.317246	1238.26638	961.3129681	885.6505559	848.5152599
SPTBN1	16811.76834	16058.98715	15039.30804	22935.39612	21257.60133	21467.72567
PAWR	813.0128307	791.1227764	588.5785652	1226.926482	1187.825381	1186.376854
ANXA6	2896.173881	3310.436147	3305.259957	2088.988849	2285.197113	2239.539707
SLC40A1	1511.004499	1516.821914	1579.191669	2157.991648	2139.079682	2131.423997
FAM222A	466.966257	383.4831779	437.4135785	257.1063199	209.7331844	250.0175794
GDA	422.7273485	414.6852212	352.7183023	692.8637224	615.2836073	641.9370282
CEMIP2	4446.501854	3951.587812	3676.203825	5852.004509	5540.534454	5816.046008
SMIM14	736.3320559	577.7410606	577.8576441	1042.603937	972.1282196	1014.5501
RIOK3	756.9768798	709.5948567	662.5529204	1098.373322	1044.689937	1050.266897
SPARC	1829.524641	1811.731549	1943.702985	1280.80538	1329.966828	1340.827868
RRM2B	1212.146095	1069.928131	896.2689991	1660.793397	1638.10563	1645.868621
IL13RA1	1978.953843	1879.168223	1842.926327	2881.103173	2516.798213	2689.378287
PHLDA1	1089.260237	1025.64136	961.6666174	1467.018414	1502.922155	1484.660375
TOMM20	4690.307394	4489.068171	4216.538246	6304.7763	6146.872096	5886.514283
ETFB	1367.473818	1672.83213	1696.049709	1049.220644	1054.629899	1021.307332
MMD	2473.446532	2041.217545	2122.742366	3208.157536	3233.469426	3124.737083
MOSPD1	192.685024	207.3426106	197.2649472	408.3453316	348.8926432	327.2430866
STK26	844.4716101	758.9142155	663.6250125	1176.82856	1203.729319	1116.873897
NSDHL	697.9916684	839.4356177	886.6201701	530.2817848	497.9920634	468.1796371
TXN2	1670.26457	1789.588163	1821.484485	1250.557578	1265.357079	1216.301738
HSPH1	2323.034243	2222.3907	1974.793656	3438.797029	2927.318616	3145.008779
